time,open,high,low,close
2020-05-19,1730.66,1747.83,1725.82,1744.5
2020-05-20,1745.18,1753.83,1742.5,1747.72
2020-05-21,1747.18,1748.78,1717.15,1726.97
2020-05-22,1722.86,1740.11,1722.86,1735.18
2020-05-25,1732,1734.31,1721.59,1727.62
2020-05-26,1727.99,1735.43,1708.8,1710.64
2020-05-27,1708.73,1715.95,1693.67,1709.39
2020-05-28,1710.45,1727.46,1705.19,1717.98
2020-05-29,1717.08,1737.6,1712.64,1730.32
2020-06-01,1735.02,1744.55,1727.16,1739.76
2020-06-02,1738.9,1745.17,1721.3,1727.9
2020-06-03,1724.01,1731.72,1689.44,1698.16
2020-06-04,1698.51,1721.83,1696.68,1714.07
2020-06-05,1713.05,1716.02,1670.69,1684.44
2020-06-08,1682.7,1700.65,1677.39,1697.97
2020-06-09,1697.07,1720.82,1692.23,1714.44
2020-06-10,1713.11,1739.73,1707.87,1738.41
2020-06-11,1737.08,1744.64,1721.54,1726.89
2020-06-12,1727.37,1743.01,1722.23,1730.19
2020-06-15,1732.85,1734.08,1704.21,1724.69
2020-06-16,1724.6,1732.78,1716.79,1726.35
2020-06-17,1725.7,1730.29,1712.59,1726.59
2020-06-18,1725.82,1737.76,1717.51,1722.5
2020-06-19,1720.94,1745.16,1720.94,1742.06
2020-06-22,1752.99,1763.04,1742.78,1754.56
2020-06-23,1753.3,1770.96,1747.34,1767.45
2020-06-24,1767.66,1779.18,1760.6,1761.21
2020-06-25,1759.99,1768.84,1754,1763.74
2020-06-26,1763.38,1771.81,1747.43,1768.97
2020-06-29,1775.39,1775.39,1765.56,1772.22
2020-06-30,1771.17,1786.08,1764.47,1780.3
2020-07-01,1780.92,1789.04,1759.13,1770.4
2020-07-02,1768.17,1779.47,1757.42,1775.3
2020-07-03,1775.14,1777.07,1772.55,1774.88
2020-07-06,1773.39,1786.97,1769.97,1784.69
2020-07-07,1783.19,1797.34,1773.49,1795.31
2020-07-08,1794.71,1817.94,1791.45,1808.89
2020-07-09,1808.44,1815.91,1795.53,1803.08
2020-07-10,1801.04,1810.46,1794.04,1798.73
2020-07-13,1797.26,1813.25,1797.26,1802.39
2020-07-14,1802.47,1810.83,1790.43,1809.18
2020-07-15,1807.28,1815.03,1802.43,1810.17
2020-07-16,1810.09,1813.23,1794.9,1796.77
2020-07-17,1796.77,1811.96,1795.79,1809.67
2020-07-20,1808.53,1820.51,1805.68,1817.22
2020-07-21,1817.61,1843.45,1815.83,1841.75
2020-07-22,1839.3,1871.97,1839.3,1871.49
2020-07-23,1871.97,1898.36,1863.67,1887.22
2020-07-24,1886.44,1906.51,1881.31,1901.8
2020-07-27,1901.35,1945.61,1899.59,1941.88
2020-07-28,1941.65,1981.05,1906.62,1959.57
2020-07-29,1955.42,1980.84,1941.43,1970.28
2020-07-30,1969.63,1971.55,1939.51,1955.92
2020-07-31,1955.28,1983.26,1955.02,1974.72
2020-08-03,1978.45,1985.01,1960.49,1976.65
2020-08-04,1976.32,2019.93,1967.53,2019.09
2020-08-05,2018.69,2055.55,2009.47,2037.7
2020-08-06,2038.61,2069.64,2034.49,2063.11
2020-08-07,2063.65,2075.21,2015.51,2032.46
2020-08-10,2033.74,2049.88,2018.88,2027.32
2020-08-11,2027.02,2029.99,1901.3,1911.51
2020-08-12,1911.43,1949.25,1862.58,1916.6
2020-08-13,1912.98,1966.3,1912.79,1953.21
2020-08-14,1952.72,1962.17,1932.16,1943.13
2020-08-17,1946.5,1990.68,1929.48,1985.07
2020-08-18,1984.53,2015.45,1976.03,2001.76
2020-08-19,2002.07,2006.44,1924.68,1929.27
2020-08-20,1928.46,1955.22,1924.82,1946.59
2020-08-21,1946.81,1955.85,1911.46,1938.38
2020-08-24,1940.15,1961.75,1923.69,1928.94
2020-08-25,1928.77,1937.49,1914.25,1927.81
2020-08-26,1931.95,1954.8,1902.76,1953.82
2020-08-27,1954.16,1976.66,1909.98,1928.95
2020-08-28,1929.01,1973.81,1923.12,1964.49
2020-08-31,1965.46,1976.52,1954.23,1967.5
2020-09-01,1967.05,1992.4,1963.13,1970.31
2020-09-02,1969.29,1973.24,1932.59,1942.87
2020-09-03,1942.42,1951.02,1921.78,1930.22
2020-09-04,1931.35,1947.73,1916.4,1933.07
2020-09-07,1929.83,1941.29,1924.29,1928.58
2020-09-08,1929.32,1940.87,1906.43,1931.48
2020-09-09,1932.2,1950.85,1920.03,1946.54
2020-09-10,1946.37,1966.53,1941.39,1946.02
2020-09-11,1944.86,1954.75,1937.17,1940.43
2020-09-14,1940.41,1962.43,1936.5,1956.45
2020-09-15,1956.79,1972.13,1948.48,1954.12
2020-09-16,1952.84,1973.46,1949.83,1959.39
2020-09-17,1958.95,1960.93,1932.84,1944.13
2020-09-18,1944.07,1960.04,1943.8,1950.34
2020-09-21,1949.44,1955.59,1882.24,1912.53
2020-09-22,1912.35,1920.02,1894.62,1900.08
2020-09-23,1900.11,1905.3,1855.81,1863.31
2020-09-24,1863.17,1877.03,1848.72,1867.83
2020-09-25,1867.95,1875.16,1852.4,1859.87
2020-09-28,1859,1883.03,1848.63,1881.56
2020-09-29,1881.18,1899.07,1875.43,1897.25
2020-09-30,1897.52,1902.24,1881.43,1885.4
2020-10-01,1885.44,1911.95,1884.67,1905.98
2020-10-02,1905.16,1917.05,1889.74,1900.53
2020-10-05,1904.8,1918.8,1887,1913.44
2020-10-06,1912.66,1920.97,1874.6,1877.88
2020-10-07,1878.56,1898.04,1872.85,1887.65
2020-10-08,1886.94,1900.7,1881.91,1893.56
2020-10-09,1893.53,1930.45,1893.53,1929.68
2020-10-12,1928.73,1933.17,1918.26,1922.49
2020-10-13,1922.68,1925.42,1886.44,1890.97
2020-10-14,1891.67,1912.92,1882.42,1901.28
2020-10-15,1901.63,1908.99,1889.68,1908.25
2020-10-16,1908.32,1913.91,1897.78,1898.74
2020-10-19,1899.66,1918.46,1896.99,1904.14
2020-10-20,1903.34,1914.09,1894.61,1907
2020-10-21,1907.97,1931.37,1907.97,1924.57
2020-10-22,1924.3,1925.99,1894.54,1903.77
2020-10-23,1903.79,1914.18,1894.28,1901.54
2020-10-26,1902.62,1908.6,1891.23,1902.18
2020-10-27,1901.75,1911.34,1897.81,1907.56
2020-10-28,1907.88,1910.82,1869.24,1877.35
2020-10-29,1876.7,1884.95,1859.94,1867.71
2020-10-30,1866.7,1889.79,1864.5,1878.22
2020-11-02,1877,1895.72,1873.43,1895.3
2020-11-03,1895.35,1910.54,1886.94,1905.61
2020-11-04,1908.83,1916.41,1882.08,1905.03
2020-11-05,1903.03,1952.74,1902.18,1949.73
2020-11-06,1948.37,1960.35,1935.58,1951.57
2020-11-09,1954.97,1965.48,1850.52,1865.07
2020-11-10,1870.96,1890.43,1867.46,1872.85
2020-11-11,1876.78,1884.45,1856.46,1863.81
2020-11-12,1863.28,1883.8,1862.68,1875.69
2020-11-13,1878.39,1896.79,1874.02,1886.99
2020-11-16,1889.86,1899.09,1864.48,1887.5
2020-11-17,1889.22,1893.43,1876.88,1881.36
2020-11-18,1882.94,1884.83,1863.74,1870.21
2020-11-19,1873.65,1874.06,1852.72,1866.82
2020-11-20,1865.56,1879.75,1860.9,1873.35
2020-11-23,1870.6,1876.11,1830.97,1836.07
2020-11-24,1837.87,1839.02,1800.42,1807.54
2020-11-25,1807.35,1817.72,1801.61,1806.35
2020-11-26,1807.69,1818.24,1805.77,1810.24
2020-11-27,1810.35,1813.78,1774.32,1786.82
2020-11-30,1786.12,1789.87,1764.31,1776.38
2020-12-01,1776.57,1817.28,1775.74,1814.42
2020-12-02,1815.14,1832.38,1807.45,1828.09
2020-12-03,1830.2,1843.95,1823.74,1841.59
2020-12-04,1840,1848.16,1829.21,1836.19
2020-12-07,1836.85,1868.59,1822.11,1863.77
2020-12-08,1861.59,1875.27,1860.27,1870.28
2020-12-09,1869.67,1870.81,1825.47,1838.14
2020-12-10,1839.35,1850.01,1828.72,1835.54
2020-12-11,1836.07,1847.67,1824.05,1838.84
2020-12-14,1840.69,1841.22,1819.06,1828.71
2020-12-15,1827.14,1855.36,1825.51,1854.54
2020-12-16,1853.61,1865.72,1844.78,1864.1
2020-12-17,1863.9,1896.22,1862,1884.45
2020-12-18,1885.36,1889.63,1877.45,1880.34
2020-12-21,1885.55,1906.72,1855.07,1875.81
2020-12-22,1875.93,1884.26,1858.91,1859.87
2020-12-23,1859.7,1878.51,1857.06,1872.48
2020-12-24,1872.26,1883.32,1869.54,1878.59
2020-12-28,1882.38,1900.21,1869.1,1872.61
2020-12-29,1872.84,1886.4,1871.71,1879.18
2020-12-30,1877.32,1893.08,1876.07,1893.04
2020-12-31,1894.07,1900.82,1885.43,1900.49
2021-01-04,1903.24,1944.43,1901.86,1944.18
2021-01-05,1939.83,1953.05,1934.3,1948.41
2021-01-06,1949.49,1959.3,1900.79,1918.64
2021-01-07,1918.5,1927.68,1906.9,1913.91
2021-01-08,1913.45,1917.48,1828.28,1848.38
2021-01-11,1848.09,1856.79,1817.08,1844.84
2021-01-12,1844.6,1863.69,1836.86,1856.48
2021-01-13,1854.5,1863.02,1845.76,1846.11
2021-01-14,1845.52,1857.57,1828.26,1847.98
2021-01-15,1845.52,1856.93,1823.36,1826.4
2021-01-18,1828.3,1840.76,1801.31,1837.6
2021-01-19,1837.52,1845.51,1833.06,1840.04
2021-01-20,1839.66,1870.94,1832.61,1869.78
2021-01-21,1870.14,1875.1,1858.36,1870.3
2021-01-22,1869.84,1870.79,1837.32,1854.55
2021-01-25,1854.01,1867.86,1847.14,1855.76
2021-01-26,1855.11,1861.72,1848.37,1851
2021-01-27,1850.62,1853.15,1831.31,1841.43
2021-01-28,1843.61,1864.02,1833.99,1842.07
2021-01-29,1841.65,1875.63,1839.52,1844.31
2021-02-01,1863.14,1871.76,1849.11,1859.03
2021-02-02,1860.04,1864.09,1829.52,1836.17
2021-02-03,1837.27,1844.95,1829.75,1833.61
2021-02-04,1832.99,1834.76,1785.06,1793.94
2021-02-05,1794.11,1815.16,1792.08,1810.17
2021-02-08,1816.59,1839.13,1807.79,1829.85
2021-02-09,1836.49,1848.6,1828.89,1835.78
2021-02-10,1837.29,1855.37,1834.06,1841.7
2021-02-11,1842.56,1847.55,1821.12,1825.85
2021-02-12,1824.63,1830.75,1810.47,1819.4
2021-02-15,1824.67,1827.02,1816.05,1818.7
2021-02-16,1818.42,1826.41,1789.45,1795.39
2021-02-17,1793.37,1795.11,1769.59,1775.24
2021-02-18,1776.31,1789.66,1768.44,1774.66
2021-02-19,1775.89,1791.62,1760.64,1781.64
2021-02-22,1782.19,1812.65,1780.69,1808.93
2021-02-23,1809.34,1816.03,1795.62,1805.3
2021-02-24,1804.86,1813.83,1783.56,1802.93
2021-02-25,1804.69,1805.34,1765.49,1770.13
2021-02-26,1771.12,1775.8,1717.26,1730.59
2021-03-01,1733.46,1759.84,1719.65,1723.13
2021-03-02,1724.19,1738.48,1707.25,1733.55
2021-03-03,1737.31,1740.51,1701.98,1714.52
2021-03-04,1709.66,1723.21,1690.52,1698.42
2021-03-05,1697.36,1707.67,1687.38,1699.19
2021-03-08,1702.51,1714.31,1676.83,1680.76
2021-03-09,1681.51,1720.64,1680.14,1715.8
2021-03-10,1715.6,1726.28,1708.21,1725.58
2021-03-11,1725.8,1739.88,1719.25,1723.69
2021-03-12,1721.73,1727.97,1699.18,1724.25
2021-03-15,1726.9,1734.54,1721.68,1731.68
2021-03-16,1732.03,1741.14,1726.15,1731.52
2021-03-17,1731.21,1751.66,1724.27,1745.15
