time,open,high,low,close
2021-06-14,1876.46,1877.69,1760.94,1764.55
2021-06-21,1767.92,1794.95,1766.46,1780.88
2021-06-28,1781.31,1795.06,1750.6,1787.57
2021-07-05,1787.5,1818.39,1784.46,1808.01
2021-07-12,1807.53,1834.17,1791.58,1811.41
2021-07-19,1811.29,1825.05,1789.6,1801.71
2021-07-26,1802.15,1832.7,1792.51,1814.14
2021-08-02,1813.42,1831.73,1758.73,1762.94
2021-08-09,1762.54,1779.67,1678.93,1779.65
2021-08-16,1779.74,1795.56,1770.82,1780.89
2021-08-23,1780.49,1819.28,1776.45,1817.91
2021-08-30,1818.28,1833.99,1801.65,1827.48
2021-09-06,1827.53,1828.54,1782.33,1787.61
2021-09-13,1788.28,1808.67,1745.32,1753.73
2021-09-20,1752.93,1787.28,1737.87,1749.1
2021-09-27,1747.95,1764.3,1721.61,1760.03
2021-10-04,1760.38,1781.38,1745.93,1757.04
2021-10-11,1756.83,1800.57,1750.16,1767.39
2021-10-18,1766.46,1813.82,1760.25,1792.66
2021-10-25,1792.59,1810.45,1771.93,1782.64
2021-11-01,1782.23,1818.24,1758.82,1818.06
2021-11-08,1816.69,1868.74,1812.48,1864.95
2021-11-15,1867.72,1877.09,1843.05,1847.4
2021-11-22,1844.62,1849.08,1778.52,1791.4
2021-11-29,1784.53,1808.77,1761.85,1782.54
2021-12-06,1783.71,1793.1,1770.13,1782.48
2021-12-13,1782.15,1814.25,1752.95,1797.06
2021-12-20,1797.95,1810.74,1784.86,1808.95
2021-12-27,1806.8,1830.38,1789.42,1830.27
2022-01-03,1829,1831.65,1782.62,1794.58
2022-01-10,1795.11,1829.13,1790.37,1817.26
2022-01-17,1817.14,1847.95,1805.77,1829.84
2022-01-24,1832.66,1853.84,1780.24,1788.69
2022-01-31,1790.52,1814.91,1785.53,1807.53
2022-02-07,1806.54,1865.4,1806.16,1862.2
2022-02-14,1861.23,1902.49,1844.52,1896.17
2022-02-21,1899.67,1974.38,1878.1,1890.23
2022-02-28,1921.36,1970.29,1890.86,1968.42
2022-03-07,1979.59,2070.52,1958.69,1984.08
2022-03-14,1988.09,1989.58,1895.07,1920.81
2022-03-21,1920.61,1966.18,1910.66,1956.02
2022-03-28,1956.55,1960.28,1890.05,1924.17
2022-04-04,1923.86,1948.14,1915.06,1945.78
2022-04-11,1946.16,1981.57,1939.98,1973.3
2022-04-18,1972.48,1998.32,1926.55,1932.11
2022-04-25,1930.22,1935.14,1872.09,1897.41
2022-05-02,1896.63,1909.74,1850.38,1883.11
2022-05-09,1883.1,1886.15,1799.06,1811.99
2022-05-16,1808.76,1849.41,1786.8,1845.53
2022-05-23,1847.68,1869.75,1841,1854.08
2022-05-30,1852.81,1874.09,1828.5,1850.72
2022-06-06,1849.8,1875.86,1825.1,1871.51
2022-06-13,1878.1,1878.9,1805.11,1840.12
2022-06-20,1836.81,1847.82,1816.92,1827.05
2022-06-27,1834.77,1841.05,1784.5,1807.66
2022-07-04,1809.74,1814.32,1728.98,1742.39
2022-07-11,1741.11,1745.34,1697.52,1706.96
2022-07-18,1707.12,1739.21,1680.87,1727.31
2022-07-25,1726.59,1767.92,1711.44,1765.82
2022-08-01,1764.74,1794.91,1754.24,1774.98
2022-08-08,1772.72,1807.9,1770.4,1801.74
2022-08-15,1802.24,1802.24,1745.48,1747.02
2022-08-22,1746.83,1765.53,1727.75,1738.27
2022-08-29,1735.96,1745.48,1688.8,1712.34
2022-09-05,1711.76,1729.46,1691.29,1717.38
2022-09-12,1717.26,1735.12,1654.11,1675.94
2022-09-19,1674.5,1688.07,1639.67,1644.99
2022-09-26,1645.23,1675.38,1614.82,1660.91
2022-10-03,1660.66,1729.45,1659.63,1694.78
2022-10-10,1695.55,1699.91,1640.2,1644.2
2022-10-17,1644.12,1668.42,1617.18,1657
2022-10-24,1659.53,1674.96,1638,1645.47
2022-10-31,1643.22,1681.68,1616.64,1680.56
2022-11-07,1675.17,1772.6,1664.68,1770.35
2022-11-14,1764.42,1786.48,1747.51,1750.09
2022-11-21,1751.15,1761.13,1726.57,1754.32
2022-11-28,1754.39,1804.41,1739.43,1798.7
2022-12-05,1796.34,1809.94,1765.8,1797.33
2022-12-12,1796.29,1824.53,1773.74,1792.97
2022-12-19,1792.89,1823.8,1783.76,1798.2
2022-12-26,1800.55,1833.26,1797.02,1824.44
2023-01-02,1826.72,1869.8,1823.56,1866.55
2023-01-09,1866.47,1921.88,1866.28,1920.83
2023-01-16,1919.38,1937.47,1896.51,1927.08
2023-01-23,1925.89,1949.1,1911.33,1928.56
2023-01-30,1927.87,1959.67,1861.34,1865.73
2023-02-06,1861.18,1890.22,1852.73,1865.48
2023-02-13,1864.73,1870.5,1818.88,1841.69
2023-02-20,1840.58,1847.47,1808.89,1810.91
2023-02-27,1810.76,1856.29,1804.7,1854.86
2023-03-06,1855.24,1870.09,1809.35,1867.33
2023-03-13,1880.78,1987.72,1871.45,1986.03
2023-03-20,1982.9,2009.74,1934.23,1977.77
2023-03-27,1978.89,1987.55,1943.94,1969.35
2023-04-03,1970.36,2032.04,1949.7,2007.02
2023-04-10,1992.35,2048.72,1981.62,2004.13
2023-04-17,1999.35,2014.99,1969.19,1982.61
2023-04-24,1981.28,2009.27,1974.09,1989.52
2023-05-01,1991.03,2078.37,1977.04,2016.23
2023-05-08,2016.06,2048.13,2000.89,2010.98
2023-05-15,2007.9,2022.13,1951.91,1977.62
2023-05-22,1977.53,1985.28,1936.7,1946.61
2023-05-29,1941.97,1983.39,1931.99,1948.42
2023-06-05,1948.23,1973.03,1938.09,1960.68
2023-06-12,1959.64,1970.95,1924.54,1957.86
2023-06-19,1957.48,1958.71,1910.04,1921.02
2023-06-26,1924.71,1933.3,1892.94,1919.43
2023-07-03,1918.72,1935.02,1902.61,1925.38
2023-07-10,1924.53,1963.71,1912.62,1955.32
2023-07-17,1954.68,1987.41,1945.74,1961.87
2023-07-24,1962.41,1982.15,1942.53,1959
2023-07-31,1958.87,1972.35,1924.92,1942.7
2023-08-07,1942.21,1946.66,1910.76,1913.83
2023-08-14,1913.67,1916.18,1884.99,1889.6
2023-08-21,1889.8,1923.31,1884.77,1913.94
2023-08-28,1915.5,1952.9,1912.77,1939.85
2023-09-04,1940.39,1946.26,1915.26,1918.98
2023-09-11,1920.48,1930.7,1900.94,1923.52
2023-09-18,1923.57,1947.41,1913.9,1925.08
2023-09-25,1925.12,1927.16,1846.28,1849.09
2023-10-02,1847.04,1848.89,1810.4,1831.58
2023-10-09,1849.91,1930.75,1844.18,1929.94
2023-10-16,1923.46,1997.14,1908.14,1980.31
2023-10-23,1969.04,2009.46,1953.3,2005.7
2023-10-30,2004.68,2007.95,1969.83,1992.43
2023-11-06,1992.83,1993.07,1933.08,1937.81
2023-11-13,1938.53,1993.37,1931.65,1980.41
2023-11-20,1977.76,2007.54,1965.47,2002.12
2023-11-27,2001.78,2075.34,2000.38,2071.45
2023-12-04,2072.49,2143.31,1994.65,2004.07
2023-12-11,2004.84,2047.87,1973.03,2018.46
2023-12-18,2020.18,2070.6,2016.02,2052.76
2023-12-25,2053.22,2088.43,2052.91,2062.9
2024-01-01,2063.99,2078.87,2024.39,2045.07
2024-01-08,2044.71,2062.22,2013.31,2048.79
2024-01-15,2047.24,2058.59,2001.79,2029.35
2024-01-22,2028.94,2037.89,2009.38,2018.43
2024-01-29,2025.92,2065.42,2019.25,2039.59
2024-02-05,2039.72,2044.6,2014.87,2024.03
2024-02-12,2025.28,2032.26,1984.24,2012.65
2024-02-19,2014.39,2041.32,2010.42,2036.14
2024-02-26,2032.99,2088.28,2024.47,2084.37
2024-03-04,2082.79,2195.11,2079.45,2178.09
2024-03-11,2180.8,2189.01,2150.6,2156.1
2024-03-18,2152.4,2222.68,2146.08,2165.47
2024-03-25,2165.38,2236.16,2163.51,2232.79
2024-04-01,2240.09,2330.47,2228.47,2328.38
2024-04-08,2322.14,2431.47,2302.89,2344.72
2024-04-15,2362.4,2417.81,2324.22,2390.52
2024-04-22,2386.32,2388.44,2291.31,2337.43
2024-04-29,2335.52,2346.71,2277.09,2301.88
2024-05-06,2303.02,2378.39,2291.83,2360.82
2024-05-13,2360.49,2422.68,2331.89,2414.36
2024-05-20,2419.4,2450.04,2325.36,2333.79
2024-05-27,2335.64,2364.04,2320.59,2327.51
2024-06-03,2327.51,2387.67,2286.72,2293.04
2024-06-10,2294.49,2341.6,2287.6,2332.69
2024-06-17,2332.69,2368.69,2306.55,2321.36
2024-06-24,2318.53,2339.69,2293.45,2326.39
2024-07-01,2326.05,2392.9,2318.52,2391
2024-07-08,2387.35,2424.52,2349.21,2411.58
2024-07-15,2412.67,2483.64,2393.62,2400.38
2024-07-22,2403.71,2431.98,2353.1,2388.29
2024-07-29,2388.11,2477.66,2369.51,2441.31
2024-08-05,2443.9,2458.6,2364.15,2430.97
2024-08-12,2429.86,2509.75,2423.7,2507
2024-08-19,2508.95,2531.73,2470.85,2511.9
2024-08-26,2511.71,2528.96,2493.43,2503.44
2024-09-02,2502.76,2529.24,2471.69,2497.09
2024-09-09,2496.53,2586.09,2485.47,2579.41
2024-09-16,2578.64,2625.8,2546.92,2622.19
2024-09-23,2619.71,2685.51,2613.64,2658.69
2024-09-30,2658.32,2673.17,2624.65,2652.7
2024-10-07,2650.82,2661.43,2601.78,2657.03
2024-10-14,2652.37,2722.54,2638.1,2722.2
2024-10-21,2720.62,2758.45,2708.54,2746.27
2024-10-28,2734.64,2790.12,2724.7,2735.04
2024-11-04,2736.26,2750,2643.12,2684.45
2024-11-11,2684.58,2686.18,2536.57,2561.71
2024-11-18,2567.63,2715.27,2566.51,2714.41
2024-11-25,2706.4,2721.38,2605.15,2650.44
2024-12-02,2650.08,2657.18,2613.09,2632.93
2024-12-09,2646.71,2726.05,2627.44,2648.46
2024-12-16,2650,2664.43,2582.57,2622.14
2024-12-23,2620.02,2639.11,2608.1,2620.97
2024-12-30,2619.8,2665.12,2596.07,2639.44
2025-01-06,2641.41,2697.9,2614.45,2689.04
2025-01-13,2688.79,2724.81,2656.71,2702.37
2025-01-20,2702.37,2786,2689.36,2771.6
2025-01-27,2767.59,2817.21,2730.31,2800.57
2025-02-03,2802.07,2886.86,2772.1,2861.82
2025-02-10,2855.81,2942.65,2855.7,2882.9
2025-02-17,2885.9,2954.96,2878.53,2935.24
2025-02-24,2934.27,2956.18,2832.47,2853.23
2025-03-03,2860.06,2930.27,2858.66,2908.36
2025-03-10,2911.56,3004.83,2879.84,2988.31
2025-03-17,2984.59,3057.42,2982.27,3023.03
2025-03-24,3023.82,3086.74,3002.45,3083.97
2025-03-31,3087.9,3167.68,3015.69,3036.78
2025-04-07,3028.8,3245.13,2956.57,3237.94
2025-04-14,3219.1,3357.78,3193.65,3327.12
2025-04-21,3331.29,3499.97,3259.96,3316.31
2025-04-28,3329.58,3353.06,3201.67,3240.62
2025-05-05,3241.79,3434.68,3237.67,3325.42
2025-05-12,3287.71,3291.71,3120.44,3201.36
2025-05-19,3212.17,3365.88,3204.57,3360.07
2025-05-26,3352.87,3356.59,3245.46,3291.15
2025-06-02,3298.03,3403.57,3298.03,3311.93
2025-06-09,3315.33,3446.76,3293.22,3432.55
2025-06-16,3442.76,3451.34,3340.04,3368.99
2025-06-23,3391.29,3394.68,3255.55,3274.65
2025-06-30,3280.46,3365.77,3246.35,3337.13
2025-07-07,3337.36,3368.73,3282.41,3357.32
2025-07-14,3362.93,3376.98,3309.67,3350.68
2025-07-21,3348.84,3438.98,3325.06,3336.63
2025-07-28,3329.34,3363.47,3267.95,3363.21
2025-08-04,3364.55,3407.86,3344.95,3397.02
2025-08-11,3403.61,3405.07,3329.74,3335.94
2025-08-18,3336.39,3378.85,3311.42,3371.95
2025-08-25,3371.25,3453.99,3351.37,3448.12
2025-09-01,3444.29,3599.99,3437.04,3587.32
2025-09-08,3583.72,3674.63,3579.47,3643.41
2025-09-15,3644.67,3707.42,3626.51,3685.11
2025-09-22,3684.78,3791.14,3683.66,3761.24
2025-09-29,3760.57,3896.91,3760.57,3886.75
2025-10-06,3887.05,4059.15,3884.24,4018.46
2025-10-13,4012.06,4379.22,4007.39,4246.86
2025-10-20,4243.5,4381.38,4004.06,4112.84
2025-10-27,4076.86,4109.12,3886.62,4003.18
2025-11-03,3983.73,4030.55,3928.52,4001.15
2025-11-10,3999.21,4245.12,3999.11,4084.73
2025-11-17,4082.52,4132.81,3997.7,4065.8
2025-11-24,4068.96,4226.82,4039.91,4219.29
2025-12-01,4229.15,4264.59,4163.42,4196.32
2025-12-08,4196.08,4353.54,4169.77,4300.22
2025-12-15,4295.98,4374.63,4271.56,4338.6
2025-12-22,4338.52,4549.86,4338.06,4531.68
